indicator,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
Existence of a Local Biodiversity Strategy and Action Plan,5.4621687,-6.909357,-1.349974,-3.1128478,-1.3257961,-2.486483,-1.1372484,0.08541187,2.1602476,-6.051094,-0.51692533,4.165035,0.97409403,-0.74861175,1.1996447,-9.105321,1.3926187,0.81283927,-1.183235,2.238163,0.3983616,0.5442205,2.072052,-2.5668297,2.9885838,2.2609706,1.5133759,3.9490469,4.5573606,-1.2179953,2.4379015,1.736614,-0.4960897,1.706687,-0.35109425,2.7551315,5.247232,1.6635342,2.4391387,2.7864158,0.60152936,1.7798629,-0.9120495,1.5183525,1.7419846,-2.80642,1.8076177,-0.5015719,2.612901,-0.9052303,1.375314,-1.8072034
Native Biodiversity in Built Up Areas (Bird Species),5.4630895,-2.384521,11.275649,-2.6967258,-2.826649,0.6747451,-1.8907524,1.115649,0.7668404,-4.2789016,2.4960876,0.28462917,1.1858743,1.674033,-0.0018889755,0.9489213,5.2854495,3.4741957,-0.9848411,-1.9082911,-0.6967014,1.589712,0.9550258,-6.4269004,-4.8829346,-2.7860694,2.29114,1.8840207,2.4058602,2.6883817,-4.6464143,-0.9863793,-0.70259666,-2.0381544,0.5571089,2.5910392,1.5306585,-0.6919323,2.2949204,-0.17307651,-0.45077944,-0.24431133,-1.0790147,0.36311895,1.1361698,-4.3310595,5.222344,-1.011142,1.5688418,0.013113558,0.497052,1.6282239
Connectivity Measures or Ecological Networks to Counter Fragmentation,6.8426228,-2.5280654,-6.398946,-5.3403773,1.7066747,-2.6768594,1.7669171,-0.6327054,5.2742743,-0.7388822,1.9006685,2.6847773,-3.9816341,-0.7998217,-1.3878202,1.3816843,2.219092,-1.4201783,2.2383404,5.4727364,1.3055654,2.4925046,2.807455,-1.6475036,-6.5171127,-0.96076363,2.5637567,0.7326076,-1.0913321,-1.5511243,-2.0914655,0.07078281,-2.2437735,1.938541,2.0667834,-2.118239,3.5363352,0.583181,3.623444,-0.17640212,-2.6635911,-0.27590287,-1.8510413,-1.0248771,-1.3749537,0.46389145,0.88614726,2.1221685,-1.9379894,-0.4236443,1.3155617,-0.58574003
Proportion of Protected Natural Areas,9.064591,2.2383847,5.9024177,-9.4571705,-1.9239534,-3.734251,5.660814,2.4342933,-1.9146875,-0.7086984,1.3437448,1.801897,-1.262369,2.9580262,-4.9406776,-2.9546685,1.4451498,-2.6675436,2.1431684,-1.2210073,4.785332,0.5807359,-1.5034785,-0.19343728,-4.1579075,-1.2302847,2.9110641,2.0340853,-0.81113535,0.049751937,-2.0462518,3.3685226,0.8754986,-1.0314286,-1.5344359,-2.6320062,-3.043021,0.68651104,-2.4220235,0.41446078,1.9311801,-3.3574126,0.24963686,2.3257477,2.2123985,0.8473583,1.6683353,1.0532777,-0.090067685,0.008571327,0.21596953,-0.87231946
Proportion of Invasive Alien Species,-1.7502675,-0.27156156,8.071475,-3.4198794,-3.7481732,-2.0199492,1.1981694,-1.5827808,3.410227,1.7930839,5.6876945,0.62347543,5.317926,0.9161048,1.1883631,1.2054257,0.25772023,0.7830379,1.4124942,-0.63687575,-1.6710006,2.4017413,3.3126984,-4.7849483,-2.9424071,-3.6530275,2.1377413,1.310922,-4.7539763,4.785952,2.341944,3.8923194,-2.156547,1.984095,-2.4131832,-0.27350807,-0.8152748,-1.2567786,-2.0812635,0.876947,-0.9121295,-0.033859044,0.081376925,-0.83572066,-1.5647507,-1.3207195,2.4863715,0.74650407,-1.0962632,-2.4333184,1.9056345,2.2466953
Nature Conservation and Biodiversity,12.264391,2.3649042,0.1707902,-10.623251,-2.012714,-3.7844915,5.294235,-0.66463417,0.8527852,-1.0917253,-3.6951163,5.8255134,-0.748869,1.83794,-0.7933213,1.5382564,2.5253763,1.5365732,-0.7781018,-1.7039633,3.0095677,1.6418089,-0.6934028,-1.7046382,-3.6670814,-1.6692562,3.337398,3.3856266,1.3290501,-2.0229063,-0.74365366,1.8726006,-1.934567,-2.1861951,-2.1680176,-0.6665107,-1.0233916,0.15331477,-0.082671225,2.0362835,2.7145448,-0.62029415,1.4408665,2.0064816,0.27180636,-0.60048604,1.804547,-1.3250482,0.3747416,1.5007751,0.37519848,-0.44724792
Reserves and protected areas,9.728229,3.196656,1.2788587,1.4793346,3.3545425,-0.96644783,9.001322,-1.4442596,-6.9731264,-1.5424765,2.494868,-0.32275105,-3.909925,2.2245474,-4.2424555,1.9621165,-1.270538,-5.9775553,0.46789965,-0.95642066,1.2463154,-0.34146285,-1.8908849,0.80385125,-3.5112653,-1.7288438,1.9116812,-0.3823316,0.5005246,1.8477936,-0.56141007,-4.4114842,0.8235683,-0.3759889,-2.999105,-0.6928674,0.51943374,-1.0682346,-3.7361856,2.5149736,-0.31756237,2.1012316,0.61237925,2.3272574,3.2050772,0.15396385,2.3956277,-0.4821896,-0.68071246,-1.0722511,2.0194006,-0.06280123
Land use miscegenation,0.5896066,9.193399,9.831625,0.22916564,-6.971972,-4.608844,0.35243,1.4411087,2.2074432,-2.6765819,-1.7913595,-0.64493567,1.0188054,-3.292697,2.4980965,3.227704,1.6111635,-6.392152,-3.8388886,-0.6408802,-5.0698924,3.0516548,-1.6354841,1.74678,1.1411542,1.7805307,0.10990763,-0.30129912,0.1501821,1.0753946,0.9379437,-0.1880196,0.19161466,-0.35961863,-0.49057597,-0.5200189,1.1058784,-1.9086518,4.506983,-1.194632,-3.4946046,-0.09300351,1.7411426,-1.4566696,1.764568,1.0939273,5.3905644,4.13209,1.322951,-0.85744846,0.55771947,-2.3295467
Natural Landscape Indicator,10.723663,2.57994,3.6548457,-8.093733,-0.6538868,-6.8164988,-0.025467455,5.963284,0.1686615,-2.0927694,-2.7410507,-0.10162181,1.8823249,-0.9525874,-2.2186308,-3.476683,3.718585,0.027871333,0.017455373,-1.4489586,1.6170521,1.220953,0.9984336,1.8707575,1.0020182,-0.36532682,4.151661,1.1825644,-0.24437922,0.6478143,-0.81854963,1.8891535,-0.6020739,-2.6076179,-0.6646662,-1.5202544,-2.9704173,0.17396973,-0.88428885,-0.048704445,1.7451473,-2.7419357,1.1189921,-1.5496317,0.053316027,1.3992152,-1.5799285,3.0284111,-0.04963559,0.66359437,-0.94150066,-0.081827044
Biodiversity,1.8671176,4.3057995,3.2198246,-6.0609283,-5.469267,-4.850562,-1.4613965,-2.2640848,3.0446951,4.324255,3.3165655,1.40291,-1.7718935,1.2349705,3.5347943,0.70593405,1.5632408,-1.3653355,2.6015663,-4.156038,3.747622,-0.09572193,-0.6618886,-1.7626677,-2.4568968,-2.6205013,3.72271,3.4387403,2.918578,1.4522376,3.2075827,0.48753828,-2.0228755,3.879478,-2.4117465,1.5775758,1.149185,-1.1485101,2.0594301,3.8052058,1.8126863,-0.7071716,-0.28533316,-1.6260809,0.30504775,1.0770079,-0.02403389,0.31783468,0.98002505,0.20628542,-0.19019777,-2.964802
Closeness to nature,5.8444147,3.9512594,5.1740236,-3.183134,3.1278896,-4.0283713,3.1181579,-1.6018478,1.8771738,-0.118359864,-3.3545835,0.29798174,1.539469,-1.7681842,0.81577206,1.5655065,5.3762045,0.0134780705,-0.3972556,-1.9536705,5.3425684,-1.6881082,-0.5231276,4.317425,-4.192084,-1.3322195,3.5912788,1.2388033,-1.2072235,-1.1253301,-1.5160027,7.1350646,-0.47936675,2.3916738,0.19196261,-2.328596,-2.2067046,2.0663154,-0.59232855,-0.4193297,2.4558465,-1.5523648,-0.77433693,0.7489622,-0.894995,0.21682307,0.49208683,-0.9661421,-0.5661898,0.5335477,0.32215226,-0.029256225
Land cover change,3.3417659,3.9712014,6.985673,-1.0671647,-1.2610469,-8.466764,2.8780565,4.7984266,0.4641583,-7.323499,-4.8893633,-3.9525847,1.7877152,1.7997477,-6.338623,0.20202327,1.5966582,-4.6610985,0.732255,0.38874617,-4.6561837,5.3541,1.9028522,0.57470363,1.1343815,-0.70619994,-3.1434479,-3.452146,3.721695,-1.4714106,-2.1562564,2.869586,2.3482614,0.5574717,-3.93161,-1.2816796,-0.63580406,-3.327651,-1.0787592,-1.2540776,0.93795043,-3.805747,0.237185,-1.4204007,1.4694276,-0.35184723,-0.83687043,-3.0206795,-0.08763755,3.7285006,-0.9694445,1.1639395
OPEN AREA LAND USE,0.35268706,3.3350976,4.01214,-4.2533064,3.3185158,-5.3060927,-5.4809146,10.075802,-3.6478028,-1.426622,-3.6562016,-0.2986582,3.4444036,-0.5003266,-2.2053947,0.22193955,-2.8906333,-1.6992671,-3.1527898,-4.971691,-3.3172693,2.1142063,0.074252844,5.446384,2.2882664,0.9494229,-1.1499147,-2.1758597,2.1669888,-2.3197954,1.585679,-2.3518128,-0.2376366,0.7631628,-1.8828058,1.7919635,-1.0083077,1.8110833,1.4816426,-2.1849468,-1.1039634,-0.6608547,-0.7623112,1.1684965,-0.08045933,0.6628097,1.0524089,1.0471199,-0.47558814,0.30757448,-1.9188831,-0.8774736
Tree planting,3.208429,6.3544,4.570421,-0.5308903,3.535334,-5.6850348,2.9160924,5.6588774,6.2268763,-10.551662,-5.6130457,-0.59474707,-1.5185935,0.38450786,2.21665,3.0986784,3.796232,-1.8792026,-0.1776677,-0.1551688,1.0621498,-2.6449082,2.0413027,-0.37570846,0.23209909,-1.7937546,-2.7831502,-2.1936026,2.1559477,1.8883376,-1.1600672,-1.7949418,-0.17346507,2.9470887,4.6992607,1.1241974,1.2982831,-1.4610946,0.552946,-0.63843167,0.37037578,-1.7293236,-1.2204585,-0.30095378,-0.38424823,-1.0556256,0.068128146,0.17326958,2.580757,1.6702124,0.16310799,2.5196137
Land use efficiency,3.7435498,4.889304,-3.043747,0.9681246,0.84586,-2.068048,-0.62333965,7.865385,3.3239737,0.04205872,-2.191041,0.029263914,3.3952672,-0.8749444,0.95233274,4.5992293,-0.56320435,2.3409119,-3.8359265,4.045536,-4.520616,7.84531,0.060012594,0.64232224,1.6933851,-0.99491173,-0.96126294,-1.5313159,1.0853829,-2.4367394,-2.8787138,-1.2955487,-0.2581373,-2.3768165,-0.8138255,-2.540377,-2.6878464,3.578536,-0.061195284,-0.7488579,0.19109374,-0.7159133,0.082839854,1.9133857,2.8514225,-0.6827543,1.0289065,1.140248,-3.5140095,1.7488965,1.3840196,0.882004
Agricultural Production Acres and Value,1.0912164,1.985045,-1.7843287,3.9609447,-4.532384,3.755577,2.6336937,10.770839,1.8672537,-1.2042369,-8.7969,2.387232,2.8804927,1.7265358,-1.3800725,2.137458,-4.806925,0.41418308,0.12135348,-1.6738757,-1.8641255,5.344207,-2.5622358,3.985553,0.5450252,-0.90647984,2.1169333,-0.92404425,2.6846662,3.3850045,1.2509692,-0.020491958,-3.6200738,0.43649405,0.75660515,0.05363676,-1.176734,-0.34528455,1.9043313,-1.635601,0.53485274,-0.5660641,-1.0314693,-3.0764337,-2.941103,0.8328979,0.10185619,-0.58973646,-0.37493965,-2.7377007,3.5811424,-0.99147576
Space allocated to nature conservation,10.929361,6.3983,2.210574,-9.840482,1.2407621,-2.424559,3.1002321,1.7667403,0.051405028,-1.2677507,-0.90951896,2.739494,-1.0052431,3.0848405,-1.7967286,-0.76014125,2.004475,-0.14135367,1.089046,-1.6489276,2.7382193,-0.028443992,2.4308038,0.27200094,-2.687663,-4.7997494,1.7959404,1.2818115,-2.37846,-2.7366848,2.0618367,0.9714706,-4.784726,-1.216713,-3.4504685,-0.79264647,-0.9282756,-0.6375122,-2.3158875,1.174817,2.604307,-0.38606608,1.3103051,2.3268235,-0.54445684,-0.35433134,-0.14450334,-1.171054,-0.30282652,0.8703577,0.8724542,0.20610584
Surface runoff storing capacity,3.192418,13.099867,-5.6801057,-4.7419596,-3.160943,-2.6882343,-4.302822,-2.3495169,-9.70308,-0.30873004,4.590634,2.826888,1.6985438,0.31632596,0.8547558,2.7689786,0.014216691,-1.4194227,1.5252609,-0.882967,1.3510664,0.39107394,0.7850273,-1.680512,0.99321914,0.206566,-0.70334053,1.2457554,-3.3622193,-0.32171875,-1.2049812,-0.8683933,-2.9802558,1.7440635,-3.6337256,3.4199102,-0.20139153,0.74026155,-0.25860244,-1.0411291,-1.6757122,0.025612637,-3.1654015,0.78182745,1.0173607,-0.03822151,0.87238526,2.3103547,0.67973495,0.9426888,-1.7140291,-1.0407645
Vegetation,0.5450286,10.722604,8.954616,-2.5424469,1.2691478,-6.829897,-2.0677218,4.4766293,3.4252157,-2.9110632,-2.115847,1.085503,1.1744761,-0.82209355,-2.4548526,1.0904633,1.2481599,0.65290004,0.42969638,0.16698863,-1.6934321,-1.4124793,1.4246261,2.3929513,2.9394565,-0.467188,2.2772255,0.30398494,-1.1855696,3.0743196,3.43604,-1.3756194,2.0773072,-1.5251448,0.67315245,1.2387549,-1.5517964,-1.8289106,1.4987731,-1.8880582,-0.6476356,1.5275991,-1.0575776,-1.9147493,-0.778016,-2.3432317,1.0697118,-1.2238877,2.8295789,-0.77229714,-0.24027497,-0.32612795
Areas of protected natural spaces,12.028538,3.105909,4.944384,-8.134388,2.335393,-2.4291697,6.4600735,1.0009588,-3.7376406,0.2201038,3.6801958,-0.29327136,-2.4441154,4.159027,-5.0804534,-0.674675,1.5978533,-4.489279,1.2226843,-1.3566893,4.333872,-1.2300794,-2.2662008,0.17593008,-5.894475,-3.1077023,2.8183522,-0.6337204,0.030011952,0.5233646,-1.397929,0.19040495,0.16548261,-0.07051888,-3.4474933,-2.4036553,-1.6316158,-1.3660238,-2.3524218,0.8302495,1.3626,-1.8165944,-0.53804445,1.416959,2.31986,0.9202247,0.6145805,-0.22683187,1.1997145,-0.8126,-0.09924185,-0.2948745
Sustainable Natural Resource Management,8.860047,7.427219,-5.8796654,-0.45224306,-5.174969,-2.374132,-0.059174657,0.5113292,2.5857432,-1.8607117,-3.7502244,5.0309987,-3.1428967,-0.20357594,-4.1868157,-2.5592551,2.2260978,0.26554275,0.9624327,-0.116363674,3.990841,1.2606068,-4.1058435,-0.99305785,-0.3738894,-0.012013555,2.6596596,1.8472276,-2.8615592,-1.590229,0.1297861,1.0457202,2.7031546,-1.0911005,-0.124097824,1.4482131,1.3759167,0.7234677,-0.02783221,-0.17788751,1.656512,-0.32362115,0.65207815,1.9305742,0.6266578,-0.04743123,-1.2877351,1.0415093,0.55870163,-0.5489541,-3.0312457,-0.55351317
ICT-enabled environmental monitoring infrastructure and activities,1.4226177,0.42393464,-2.2397912,-7.766012,1.5402365,-1.7822971,0.17110758,-0.44702476,4.76848,-5.1369686,1.6181282,-1.4514298,-1.9582162,-2.9333186,1.4462955,-5.943488,-3.0806265,3.0307705,2.2000284,2.2653234,3.5934117,1.3966064,2.8429465,-2.713066,-0.0647127,1.5533834,-1.6247848,3.800069,1.4895678,-2.566527,-0.47265548,-1.3165083,-2.7606964,0.19849823,-3.1846871,2.0132084,-4.220973,-0.88426614,-1.6935668,2.3009312,3.0616825,1.747515,-2.2353027,-0.5114817,-0.5417108,0.61856,-0.6045899,-0.59640545,-1.906406,-0.9492942,-0.33258468,-2.693542
Environmental/ecosystem protection activities and efforts,12.165269,6.126551,-3.5323951,-3.8758483,2.4089305,-2.1708367,-1.4291192,0.71087575,4.039311,-3.4023015,3.0212944,3.8517146,-2.308518,1.1729953,-5.795811,-4.0325527,1.4429724,2.4037309,4.53009,1.7334199,2.786073,0.30240765,-3.483438,0.14226127,-3.4048371,1.7473749,0.9923785,1.0650297,-0.7820318,-2.7889771,-0.3016612,2.1168885,0.03343539,-1.9727106,-0.19823076,-1.650876,-2.1611888,-0.6719911,0.75644886,-0.7014054,2.3508477,2.8511631,-0.8145397,0.024475396,-2.2707434,2.0881517,-0.55378515,-0.11489767,-1.1048906,1.1847608,-0.09184583,-1.0408581
Status of implementation of quantitative evaluations for biodiversity and ecosystem services,4.8580794,-0.6736896,-2.0645678,-1.2215596,-2.282289,-1.6192229,-1.8970134,-1.4224147,1.8557224,-4.1715407,-1.2044713,5.5926538,1.1694082,-1.1883903,4.672638,-5.268224,-3.8675742,0.44231498,4.949696,-1.0612528,5.581166,6.10568,6.7227306,-1.6555688,2.5067468,2.4390485,3.2776737,0.23325214,1.6956253,-2.2069895,-1.3593105,-0.2118372,0.20045286,2.6789534,0.5616429,2.0048997,1.7552918,2.4189386,0.8466444,2.1832333,-0.54849964,1.0579158,1.9595386,0.5562394,-1.2553482,-3.5387,-1.214236,-0.28275895,4.7227516,2.4669402,0.019846767,-1.4630129
Status of participatory monitoring of biodiversity,4.7260213,-0.4953074,1.1222382,-0.2565574,-1.7986251,-5.040886,-0.9480446,-5.2327366,1.632182,-4.746814,-3.3450017,6.5601997,-0.02948013,-3.2545433,0.47377828,-4.540962,-4.5317254,-0.12970293,1.9951109,0.13254479,6.450127,3.381225,4.325396,-3.457911,-0.15714625,-0.51663256,2.9188976,1.1047547,3.5840917,-2.0654798,-2.77288,-2.0541255,-2.391272,2.3012555,-1.1019104,-2.2040734,1.5021725,0.25185686,3.3691711,-0.45190686,-1.7695496,1.6880393,1.6672884,1.9574194,-2.8548667,-3.0065987,0.57524735,0.79754615,6.4741583,0.0727188,1.9899349,-0.6712135
Number of officers engaged in biodiversity conservation strategies,5.6428127,-0.7370939,0.42281592,-9.690077,-0.26730618,1.6545267,4.4298487,-3.5208454,1.7623897,-3.567218,-2.5518856,6.1422887,-1.1714532,0.088893704,-0.78748053,-2.4325507,-3.435742,1.2158725,2.9641633,-0.23931319,2.3493724,3.4456584,-0.8536755,-0.87420964,-3.8114817,-0.5041559,2.6294663,4.4898148,3.258833,-1.8445213,-1.0493934,-0.030086637,-2.0505936,-2.589233,0.24575205,1.259691,-0.40250787,-0.00057484955,3.1965785,4.595901,-0.27197567,4.6109138,-1.8545754,3.2097836,-0.045245938,-0.06814302,-0.66440785,-0.99201065,2.584712,-0.5740143,3.1016374,-2.119195
Municipal biodiversity strategy budget size,-2.4033413,1.0699215,-1.8403622,-5.2050543,-3.3081183,10.653259,1.3209019,5.722219,1.1977574,-2.2252328,-4.53724,2.4099326,-2.033747,2.2771182,1.3299096,-2.2051306,4.5505047,-0.6753118,1.9316968,-0.346018,3.3641586,0.15341136,0.5160195,-3.2300584,0.40882367,-0.8152716,1.2396928,2.1536224,1.8495233,0.8252029,0.68460387,2.3043604,-2.8296773,-2.095641,-0.89145184,0.09738081,4.082044,1.1283646,3.137875,0.06683761,0.09652452,0.52927583,-2.500733,2.6365294,1.0130055,-1.972697,1.6379125,0.13796014,1.7720842,-1.6687492,0.6795624,0.55222917
Ratio of the municipal biodiversity strategy budget in terms of annual budget,-4.676901,1.7703614,-0.58936137,-4.6866627,-3.9249117,13.530222,3.1850305,4.947182,2.9398499,-3.1322055,-4.6825805,2.5196824,-0.6856922,0.16281956,0.52393043,-2.21368,5.5467343,0.7220777,2.5439117,1.1874188,3.502956,1.4666551,0.262247,-2.8282018,0.23257989,0.1342061,0.57777643,3.6816103,0.32982418,0.27651495,-0.52247417,1.3427343,-2.9684062,-2.0220838,-1.3385903,-0.92278504,2.8517914,2.3926868,2.6198595,0.69507897,-0.8508824,-2.739253,-0.42448485,3.0809383,0.006190598,-2.8459334,-0.057691067,0.6214228,1.9736803,-2.4467473,0.10742074,0.028129175
Percentage of forest lands,2.3611035,6.765279,10.062651,-0.3957606,-0.49922758,-3.6731339,6.924736,3.1341205,4.8680153,-5.884634,-8.008427,-1.7405912,-2.4987419,1.0448775,1.2732248,1.414126,-0.7994937,0.40053883,3.3390017,-0.9134173,-2.1847258,2.290233,-0.15147114,-1.3093326,-3.66292,1.0598689,-0.96412337,-2.5603352,2.1348093,-3.3417163,-0.024713203,2.205478,2.913085,2.8538055,2.3557005,-0.28433147,-0.28509402,3.3915043e-05,-1.2630696,-1.1618823,1.2759461,-3.31097,2.3152182,1.9324974,1.489867,-0.6602979,1.6528218,0.07131852,-0.27744895,1.1221551,-1.5297381,0.10348266
Percentage of agricultural lands,-0.3199273,6.0292153,6.3179398,3.4081366,-1.2326939,-2.2493196,4.0389347,4.8278975,2.2616239,-6.5951176,-8.254201,3.0199928,2.6570435,-0.87703544,0.053536586,0.74451447,-4.8406467,0.36763257,-0.5868847,-3.3390932,-3.3787222,6.264182,-0.009573575,5.300343,-0.40804738,-0.6899503,4.810343,-2.0209086,0.8659971,1.1648782,3.5661764,-0.7357577,-2.1375833,0.80536765,-1.0727272,0.9254157,-1.6028768,-0.035865992,0.991208,-1.0620623,-1.16251,-1.0957875,1.6153741,-2.0203073,-1.7536335,0.4305087,-0.2472294,0.3384385,-0.45206958,-1.7977792,2.6089995,-0.113434196
Renewable energy,1.6098834,8.855586,-1.4203837,5.617133,3.2553508,-0.9878384,-10.547086,-2.8764486,10.463087,3.6188297,-3.216872,-3.5326242,-0.02067602,-4.02531,-4.700507,-0.7151203,1.0751078,-4.4764295,0.90255016,-0.25252277,-1.127685,-4.587611,-3.7059908,0.7585119,0.9593408,-3.9833906,4.189518,0.52466583,-1.3366487,-1.9164046,-1.492181,-0.26198646,1.7440772,0.67152,2.035851,2.8371463,-1.3453877,0.7892402,-1.4633377,0.8373077,0.30254143,0.0074799955,1.3660178,-2.87249,-0.5955996,0.049071133,1.6354113,-0.6131815,1.5637813,-0.512299,1.2791767,1.3969772
Energy management,4.3601522,7.062649,-3.3481994,5.525048,0.24578565,-1.3815812,-5.933228,0.42560303,6.384101,0.72235507,1.4589651,-0.5048671,-1.3714223,2.11088,-6.940493,-6.7354946,-4.639621,2.4887576,-3.0409203,1.7743505,-3.941647,-4.014022,-2.477865,-1.1937218,-0.20825517,-2.296754,2.2245018,-2.2527227,-2.1637046,0.6335548,0.9347152,-0.5844488,1.9522517,-1.0745194,1.787037,-1.9280844,0.3245728,3.0934646,-1.9506607,-1.1590933,0.9649005,-1.0562197,0.46114,0.79095995,0.37036568,-0.058767676,-1.2523345,-0.20378701,2.0367303,-1.1401217,-0.016050369,-0.8190965
Safe energy distribution network,6.239056,5.5545864,-2.0099285,3.6303022,10.713457,2.268033,1.1188822,-0.13856976,1.8748101,4.5507455,1.9527559,-0.85333407,-3.832294,-4.4473567,-1.4621367,-4.113548,-0.6836966,-0.37953645,-4.344693,-0.62952733,1.69985,-0.26587903,-3.291455,-3.821238,0.53524756,-2.9415247,3.8783748,-3.1140041,-0.4039876,1.6435316,0.6004362,-0.94441485,0.7731948,0.26269364,1.2584077,-0.75445515,-1.3330581,-1.4677233,-2.3953512,-0.44241178,-1.794033,-2.8365715,-2.1210284,-1.9271288,-0.32567817,0.90724266,0.44972527,1.4963166,0.08609532,-2.334967,-2.2479634,2.2032187
Energy efficiency,1.8677738,4.750921,-3.8038769,4.533392,2.3840158,0.014654756,-3.5909698,0.6764004,9.126839,5.890775,-0.9842943,-1.5330805,1.2912571,-1.1187766,-2.8653936,1.1068043,-1.9592304,1.2221917,-1.9527884,3.1545625,-2.6422513,0.7464551,-2.153758,-1.6964359,-0.0653148,-3.7794542,2.3390155,-1.0894015,-2.9853172,-1.1166136,-1.6199458,-1.1795558,-0.41382146,0.02474238,2.82568,-2.9066343,-1.0605886,5.100826,-1.1103547,1.1678574,0.25719517,-0.4855258,1.4647275,0.0011310577,0.69855964,0.06853396,1.7615422,0.5128873,0.21927607,-0.53792226,1.0427977,0.29999304
Protection from high temperatures and sunlight,0.69467056,4.8006897,2.7159681,-0.14688176,8.501214,3.0945952,-5.9246273,-0.23781347,0.12697953,5.210858,0.8203275,-3.357617,3.1821675,1.9970692,-1.569418,0.28126132,-7.081794,-2.854701,2.06935,-2.2381172,-1.9494154,-7.7933626,0.8380238,2.6047153,1.4177855,-1.9601856,2.0048525,-2.2370017,2.0729375,-1.6925154,-0.6249812,-2.807622,-1.5531011,1.743741,-2.8766873,0.74575436,1.6010071,0.8767936,2.1939077,0.34502813,0.64221084,1.4777023,-0.5183437,1.1918088,2.3750525,3.1080155,1.2821978,1.2036538,0.8525561,0.96141213,0.22897121,-0.56882286
Reuse of construction waste,0.90655136,8.318245,-8.293768,1.1987092,-6.090454,-0.39230675,-6.324449,3.4548447,-2.465501,-3.2479038,7.9825163,3.9417565,-2.9695601,-6.578163,-0.8202388,9.169295,2.2565162,0.57236755,2.791978,-0.21738166,-1.5949298,-0.6543454,-3.4872518,1.1609774,0.5098246,0.82423306,-1.3212585,-1.4017501,0.8153004,-2.0560129,1.7486938,-1.5905817,0.16403452,0.13021092,1.8170283,1.2042392,-0.15962875,0.10125004,-0.80453396,-1.3414369,-1.3403,-1.4232152,0.5230918,0.32197422,1.8099273,1.4734354,0.6653873,1.1892176,1.3178571,-0.49818277,1.1681007,2.9670587
Waste separation and treatment,-4.6562357,10.880836,-2.408671,-3.5853848,-4.422236,0.45283765,-1.4985334,2.449588,-0.5851305,8.504593,7.0234165,4.687418,-0.09063335,-1.2932818,-3.1464596,1.0603218,1.477944,1.5233139,3.1147847,0.6249872,-1.370272,-0.14422515,2.4269378,4.234041,0.7934168,-1.8239335,-2.8178108,-3.108352,2.3731134,1.8246143,3.3349173,-2.6413405,0.8919916,-2.6759586,1.7510748,-2.4682841,4.31914,-2.493097,0.83745515,0.008258745,-1.0271013,1.3319426,1.770782,0.15655445,-2.6961608,-1.7867358,0.9805024,-1.6604018,-1.4825803,0.92804545,-0.33072266,-0.44424534
