,indicator,indicator,indicator,indicator,indicator,similarity,similarity,similarity,similarity,similarity,type
Developing new energy,Renovation and new constructions,Revitalization historic spaces,Traditional and environmental engineering,Effect on area revitalization/development,Investments required for restoration of cultural property,"0,57","0,56","0,42","0,42","0,32",general
Development Outside Cities,Attractive streetscape,Inspirational landscapes,Effect on area revitalization/development,Diversity of landscape,Enhancement urban green,"0,49","0,47","0,47","0,45","0,42",general
Development and conservation of water bodies,Ensure the quality of the traditional resource use activities,Protection of culturally important species,Protection of the Archaeological Heritage,Protection UNESCO sites,Understand how heritage conservation works,"0,47","0,45","0,4","0,37","0,34",general
Digital infrastructure,State of the building,Renovation and new constructions,Social bonds,Promotion and education in Past Identities programmes and spaces,Critical distances in the network,"0,37","0,33","0,32","0,32","0,31",general
Digitalization of governance and public expenditure on ICT and smart city transition,Funds for the improvement of the physical urban environment,Development of a public arts fund,Community arts funding,Memory/transformative value,Enhancement urban green,"0,4","0,38","0,35","0,3","0,26",general
Disaster Resilience and Climate Adaptation,Safeguarding the terraced landscape,Protection of culturally important species,Plan that does not spoil natural and historical environment,Number of healing plants,Composite tree risk index,"0,44","0,4","0,3","0,29","0,29",general
"Disaster risk planning, monitoring, and management",Levels of damage,Protection of culturally important species,Safeguarding the terraced landscape,Plan that does not spoil natural and historical environment,Protect hunting and trapping area,"0,46","0,42","0,39","0,34","0,31",general
Disasters mitigation,Levels of damage,Safeguarding the terraced landscape,Protection UNESCO sites,Protection of culturally important species,Protect hunting and trapping area,"0,5","0,41","0,37","0,34","0,34",general
Distance from the nearest residential area,Proximity to residential areas,Distance from the centre of the old town zone,Spaces rural pedestrian,Respect for residents life-style,Places of personality,"0,74","0,53","0,45","0,33","0,32",general
Distance to the nearest city and capital,Critical distances in the network,Occupied spaces,Distance from the centre of the old town zone,State of the building,Proximity to residential areas,"0,45","0,31","0,31","0,31","0,3",general
Diversity in economic activities,Effect on local business and jobs,Regional products sales (% PDO label),Effect on Property Value,"Commercial activities linked to Crats, Artisans, Craftsmanship,",Number of products of denominated origin,"0,62","0,4","0,37","0,36","0,33",general
Diversity of residential units,Proximity to residential areas,Change of man-made structures,Distance from the centre of the old town zone,Respect for residents life-style,Diversity of landscape,"0,49","0,39","0,38","0,38","0,37",general
Diversity of transport modes,Places heterotopic,"Number of view axes, panoramas",New identities programmes and spaces. Alternative forms of celebrating contemporary culture.,Diversity of landscape,Viewsheds,"0,6","0,47","0,39","0,39","0,39",general
Diversity of water resources,Opportunities for ocean viewing,Perceptions of marine associated spirituality,Places heterotopic,"Number of view axes, panoramas",Plastic Arts,"0,51","0,38","0,37","0,34","0,34",general
Domestic solid waste,Plastic Arts,Dike,Viewsheds,Archeological reserves,Archaelogical sites,"0,41","0,34","0,29","0,27","0,25",general
Drinking water consumption,Maintaining traditional irrigation system,Perceptions of marine associated spirituality,Dike,Barrow (traditional elements),Frequency of sharing salmon legends annually,"0,47","0,41","0,23","0,22","0,21",general
Drinking water in public places,Opportunities for ocean viewing,Perceptions of marine associated spirituality,Degree of unobstructed view,Urban green space,Percent of population participating in first salmon ceremony in past year,"0,43","0,28","0,27","0,26","0,24",general
Dynamics of the economic sectors,Enhancement of industrial,Regional products sales (% PDO label),Effect on local business and jobs,Pollution of the façade with modern stylistics,Number of products of denominated origin,"0,47","0,46","0,41","0,35","0,32",general
E-governance and online civic engagement and feedback system,Community participation in process and type of participation,Number of citizens initiatives,Type of information given to visitors before and during site visits,Creative hubs and meeting points,Processes: governance of cultural ecosystem services indicator,"0,57","0,4","0,36","0,35","0,32",general
ECONOMIC EFFICIENCY.,Enhancement of industrial,Clear strategy,Efficiency of the measures referred to landscape planning,Enhancement urban green,Effect on local business and jobs,"0,56","0,41","0,38","0,36","0,34",general
Eco-Friendly Transportation service,Cleanliness and Improvements,Traditional and environmental engineering,Plan that does not spoil natural and historical environment,Diminish the negative visual impacts of forestry operation,Efficiency of landscape management,"0,4","0,39","0,35","0,31","0,27",general
Ecological Enhancement,Effect on area revitalization/development,Enhancement urban green,Traditional and environmental engineering,Cleanliness and Improvements,Effectiveness of landscape management,"0,48","0,45","0,45","0,43","0,42",general
Ecological Footprint,Garden planning suitable with environment,Cemetries,Traditional and environmental engineering,Effectiveness of landscape management,Building footprints,"0,44","0,43","0,41","0,39","0,38",general
Ecological Preservation,Understand how heritage conservation works,Protection of the Archaeological Heritage,Protection UNESCO sites,Plan that does not spoil natural and historical environment,Importance of heritage conservation,"0,64","0,62","0,61","0,57","0,53",general
Ecological awareness,Traditional and environmental engineering,Cemetries,Garden planning suitable with environment,Scientific/educational landscapes,Effectiveness of landscape management,"0,49","0,45","0,43","0,35","0,3",general
"Ecological buses (electric, natural-gas, LPG)",Avenues of trees,Biorich trees indicator,Experience with local natural- non-agricultural and non-timber products,Composite tree risk index,Dike,"0,51","0,42","0,31","0,3","0,29",general
"Ecological cars (electric, natural-gas)",Traditional and environmental engineering,Pollution of the façade with modern stylistics,Cemetries,Recreation (motorized/non-motorized),Biorich trees indicator,"0,48","0,38","0,37","0,36","0,26",general
Ecology Strategy,Traditional and environmental engineering,Garden planning suitable with environment,Effectiveness of planning in relation to the landscape,Cemetries,Efficiency of the measures referred to landscape planning,"0,6","0,51","0,34","0,34","0,33",general
Economic Pressure,Effect on local business and jobs,Effect on Property Value,Pressure of parking,Funds for building renovation,Availability of cultural site maintenance fund and resource,"0,48","0,47","0,46","0,43","0,37",general
Economic image and trademarks/city image,Effect on local business and jobs,Organizations listed on Councils Artist Register,Funds for the improvement of the physical urban environment,Effect on Property Value,Historic monument values,"0,5","0,42","0,41","0,38","0,37",general
Economic stability,Percent satisfied with cultural integrity/sense of security,Comfortable use,Values,Satisfaction living/working in heritage area,Sight line homogeneity,"0,48","0,44","0,37","0,36","0,36",general
Economic welfare/Social cohesion,Community arts funding,Funds for building renovation,Availability of cultural site maintenance fund and resource,Values,Development of a public arts fund,"0,54","0,46","0,46","0,41","0,41",general
Education,Educational,Promotion and education in Past Identities programmes and spaces,Scientific/educational landscapes,Number of cultural–educational programs.,"Workspaces of Artisans, Intellectuals & youth","0,95","0,64","0,54","0,41","0,38",general
